scope,group,metric,value
e036,blocks,n_reviewed,37
e036,blocks,n_judge,34
e036,blocks,hits,33
e036,blocks,misses,4
e036,blocks,extras,1
e036,blocks,near_misses,1
e036,blocks,precision,0.9706
e036,blocks,recall,0.8919
e036,blocks,f1,0.9296
e036,blocks,rule_agree,33
e036,blocks,misses_idx,19 77 96 193
e036,blocks,extras_idx,130
e036,next_node,n_cuts,36
e036,next_node,agree,33
e036,next_node,rate,0.9167
e036,next_node,confusions,Planning->Restatement:2; Planning->Reasoning:1
e036,nodes,n_reviewed,146
e036,nodes,n_judge,137
e036,nodes,end_hits,120
e036,nodes,end_misses,26
e036,nodes,end_extras,17
e036,nodes,precision,0.8759
e036,nodes,recall,0.8219
e036,nodes,f1,0.8481
e036,nodes,matched_l1_agree,113
e036,nodes,matched_l1_rate,0.7740
e036,nodes,split,7
e036,nodes,merged,39
e036,sentences,l1_wrong,46
e036,sentences,l2_wrong,22
e036,sentences,l3_wrong,0
e036,sentences,all_right,186
e036,sentences,n,254
e036,sentences,l1_wrong_share,0.1811
e036,sentences,l2_wrong_share,0.0866
e036,sentences,l3_wrong_share,0.0000
e036,sentences,all_right_share,0.7323
e036,sentences,l1_share_of_disagreements,0.6765
c004,blocks,n_reviewed,46
c004,blocks,n_judge,43
c004,blocks,hits,41
c004,blocks,misses,5
c004,blocks,extras,2
c004,blocks,near_misses,0
c004,blocks,precision,0.9535
c004,blocks,recall,0.8913
c004,blocks,f1,0.9213
c004,blocks,rule_agree,40
c004,blocks,misses_idx,43 114 116 216 227
c004,blocks,extras_idx,291 328
c004,next_node,n_cuts,45
c004,next_node,agree,40
c004,next_node,rate,0.8889
c004,next_node,confusions,Planning->Restatement:3; Assumption->Planning:2
c004,nodes,n_reviewed,193
c004,nodes,n_judge,206
c004,nodes,end_hits,165
c004,nodes,end_misses,28
c004,nodes,end_extras,41
c004,nodes,precision,0.8010
c004,nodes,recall,0.8549
c004,nodes,f1,0.8271
c004,nodes,matched_l1_agree,144
c004,nodes,matched_l1_rate,0.7461
c004,nodes,split,21
c004,nodes,merged,43
c004,sentences,l1_wrong,94
c004,sentences,l2_wrong,51
c004,sentences,l3_wrong,6
c004,sentences,all_right,224
c004,sentences,n,375
c004,sentences,l1_wrong_share,0.2507
c004,sentences,l2_wrong_share,0.1360
c004,sentences,l3_wrong_share,0.0160
c004,sentences,all_right_share,0.5973
c004,sentences,l1_share_of_disagreements,0.6225
pooled,blocks,n_reviewed,83
pooled,blocks,n_judge,77
pooled,blocks,hits,74
pooled,blocks,misses,9
pooled,blocks,extras,3
pooled,blocks,near_misses,1
pooled,blocks,rule_agree,73
pooled,blocks,precision,0.9610
pooled,blocks,recall,0.8916
pooled,blocks,f1,0.9250
pooled,blocks,misses_idx,
pooled,blocks,extras_idx,
pooled,next_node,n_cuts,81
pooled,next_node,agree,73
pooled,next_node,rate,0.9012
pooled,next_node,confusions,Planning->Restatement:5; Assumption->Planning:2; Planning->Reasoning:1
pooled,nodes,n_reviewed,339
pooled,nodes,n_judge,343
pooled,nodes,end_hits,285
pooled,nodes,end_misses,54
pooled,nodes,end_extras,58
pooled,nodes,matched_l1_agree,257
pooled,nodes,split,28
pooled,nodes,merged,82
pooled,nodes,precision,0.8309
pooled,nodes,recall,0.8407
pooled,nodes,f1,0.8358
pooled,nodes,matched_l1_rate,0.7581
pooled,sentences,l1_wrong,140
pooled,sentences,l2_wrong,73
pooled,sentences,l3_wrong,6
pooled,sentences,all_right,410
pooled,sentences,n,629
pooled,sentences,l1_wrong_share,0.2226
pooled,sentences,l2_wrong_share,0.1161
pooled,sentences,l3_wrong_share,0.0095
pooled,sentences,all_right_share,0.6518
pooled,sentences,l1_share_of_disagreements,0.6393
