scope,group,metric,value
e036,blocks,n_reviewed,37
e036,blocks,n_judge,33
e036,blocks,hits,33
e036,blocks,misses,4
e036,blocks,extras,0
e036,blocks,near_misses,1
e036,blocks,precision,1.0000
e036,blocks,recall,0.8919
e036,blocks,f1,0.9429
e036,blocks,rule_agree,33
e036,blocks,misses_idx,19 77 117 182
e036,blocks,extras_idx,
e036,next_node,n_cuts,36
e036,next_node,agree,34
e036,next_node,rate,0.9444
e036,next_node,confusions,Planning->Reasoning:2
e036,nodes,n_reviewed,146
e036,nodes,n_judge,157
e036,nodes,end_hits,136
e036,nodes,end_misses,10
e036,nodes,end_extras,21
e036,nodes,precision,0.8662
e036,nodes,recall,0.9315
e036,nodes,f1,0.8977
e036,nodes,matched_l1_agree,125
e036,nodes,matched_l1_rate,0.8562
e036,nodes,split,13
e036,nodes,merged,17
e036,sentences,l1_wrong,36
e036,sentences,l2_wrong,13
e036,sentences,l3_wrong,5
e036,sentences,all_right,200
e036,sentences,n,254
e036,sentences,l1_wrong_share,0.1417
e036,sentences,l2_wrong_share,0.0512
e036,sentences,l3_wrong_share,0.0197
e036,sentences,all_right_share,0.7874
e036,sentences,l1_share_of_disagreements,0.6667
c004,blocks,n_reviewed,46
c004,blocks,n_judge,46
c004,blocks,hits,46
c004,blocks,misses,0
c004,blocks,extras,0
c004,blocks,near_misses,0
c004,blocks,precision,1.0000
c004,blocks,recall,1.0000
c004,blocks,f1,1.0000
c004,blocks,rule_agree,44
c004,blocks,misses_idx,
c004,blocks,extras_idx,
c004,next_node,n_cuts,45
c004,next_node,agree,43
c004,next_node,rate,0.9556
c004,next_node,confusions,Assumption->Planning:2
c004,nodes,n_reviewed,193
c004,nodes,n_judge,195
c004,nodes,end_hits,170
c004,nodes,end_misses,23
c004,nodes,end_extras,25
c004,nodes,precision,0.8718
c004,nodes,recall,0.8808
c004,nodes,f1,0.8763
c004,nodes,matched_l1_agree,160
c004,nodes,matched_l1_rate,0.8290
c004,nodes,split,17
c004,nodes,merged,34
c004,sentences,l1_wrong,71
c004,sentences,l2_wrong,61
c004,sentences,l3_wrong,5
c004,sentences,all_right,238
c004,sentences,n,375
c004,sentences,l1_wrong_share,0.1893
c004,sentences,l2_wrong_share,0.1627
c004,sentences,l3_wrong_share,0.0133
c004,sentences,all_right_share,0.6347
c004,sentences,l1_share_of_disagreements,0.5182
pooled,blocks,n_reviewed,83
pooled,blocks,n_judge,79
pooled,blocks,hits,79
pooled,blocks,misses,4
pooled,blocks,extras,0
pooled,blocks,near_misses,1
pooled,blocks,rule_agree,77
pooled,blocks,precision,1.0000
pooled,blocks,recall,0.9518
pooled,blocks,f1,0.9753
pooled,blocks,misses_idx,
pooled,blocks,extras_idx,
pooled,next_node,n_cuts,81
pooled,next_node,agree,77
pooled,next_node,rate,0.9506
pooled,next_node,confusions,Planning->Reasoning:2; Assumption->Planning:2
pooled,nodes,n_reviewed,339
pooled,nodes,n_judge,352
pooled,nodes,end_hits,306
pooled,nodes,end_misses,33
pooled,nodes,end_extras,46
pooled,nodes,matched_l1_agree,285
pooled,nodes,split,30
pooled,nodes,merged,51
pooled,nodes,precision,0.8693
pooled,nodes,recall,0.9027
pooled,nodes,f1,0.8857
pooled,nodes,matched_l1_rate,0.8407
pooled,sentences,l1_wrong,107
pooled,sentences,l2_wrong,74
pooled,sentences,l3_wrong,10
pooled,sentences,all_right,438
pooled,sentences,n,629
pooled,sentences,l1_wrong_share,0.1701
pooled,sentences,l2_wrong_share,0.1176
pooled,sentences,l3_wrong_share,0.0159
pooled,sentences,all_right_share,0.6963
pooled,sentences,l1_share_of_disagreements,0.5602
