0 Pl.iv.wdm+Kn.wk
1 Pl.lp
2-4 Rs.rtp.qt
5 Pl.iv.wdm+Kn.wk.fpc
6-8 Kn.wk.fpc
9 Pl.lp
10 Re.co.pvo
11 Rf.eoi
12 Re.lr.al
13-18 Ex.nel.al
19 Co.ic
20 Pl.lp
21-26 Rs.rtp.ot
27 Re.oe.C
28 Re.oe.E
29 Re.oe.C
30 Pl.iv.wdm
31 Re.lr
32 Rs.rae
33 Rs.rae
34 Pl.iv
35-37 Rs.rtp.qt
38 Re.lr.al
39 Co.ic
40 Pl.lp
41 Rs.rtp.ot
42-43 Re.oe.C
44 Pl.iv
45 Re.lr
46-47 Kn.wk
48 Co.ic
49-50 Pl.gp
51-56 Rs.rae
57 Pl.lp
58 Rf.meo.A
59 Rf.meo.B
60 Rf.meo.D
61 Rf.meo.E
62 Rf.meo.F
63 Co.ic
64 Pl.iv.wdm
65 Kn.wk
66 Re.sp.iot
67 Co.ic
68 Pl.gp
69-71 Pl.lp
72-73 Rs.rtp.afi
74 Pl.iv
75 Pl.lp
76-77 Re.ca.al
78 Pl.lp
79-80 Rs.rae
81 Pl.lp
82-83 Re.ds.al
84 Pl.lp
85-86 Re.ca.al
87-88 Co.ic
89 Rs.rtp.ot
90 Rf.meo.C
91 Pl.ao
92 Pl.lp
93 Re.oe.E
94 Re.co.ovo
95 Re.lr
96 Re.oe.C
97 Co.ic
98 Pl.gp
99-104 Rs.rae
105-106 Co.ic
107 Rf.meo
108 Pl.ao
109 Pl.gp
110 Pl.iv.wdm
111 Pl.iv
112-113 Rs.rtp.qt
114 Rs.rtp.qt+Re.lr
115 Co.ic
116 Kn.wk
117 Re.oe.C
118-119 Rf.meo
120 Pl.gp
121-122 Pl.lp
123-124 Rs.rae
125 Rf.meo
126 Pl.ao
127 Pl.gp
128 Pl.iv
129 Rs.rtp.ot
130 Rf.meo.C
131 Pl.ao
132 Pl.lp
133 Re.oe.F
134-135 Re.oe.C
136 Pl.atc
137 Co.ic
138 Rf.meo
139 Pl.gp
140 Kn.wk
141 Rf.eoi
142 Pl.ao
143 Pl.gp
144 Rs.rae
145-146 Co.ic
147 Rf.meo
148 Pl.gp
149-151 Rs.rtp.qt+Re.co.pvo
152-154 Rf.meo
155 Pl.ao
156 Pl.gp
157 Kn.wk.fpc
158-164 Rs.rae
165-166 Co.fa
167 Pl.ao
168 Pl.gp
169-170 Pl.lp
171-172 Rs.rtp.afi
173 Rf.meo
174 Pl.ao
