0-1 As.bcs.al+Re.ca.al
0 As.bcs.al
1 Re.ca.al
2-4 Re.ca.al
5-6 Re.lr.al
7-9 Re.ca.al
10 Re.lr.al
11 Re.ca.al
12 Re.lr.al
13 Co.ic
14-15 Pl.gp
16-18 Kn.wk.fpc
19 Pl.iv.wdm+Kn.wk
20 Re.lr
21 Pl.lp
22-23 Kn.wk.fpc
24 Re.co.pvo
25 Pl.lp
26 Rs.rtp.qt
27-28 Pl.gp
29 Pl.lp
30-32 Rs.rtp.qt
33 Pl.lp
34-35 Co.ic
36-37 Pl.gp
38 Rs.rtp.ot
39-41 Re.oe.A
42 Rs.rtp.ot
43-47 Re.oe.B
48 Rs.rtp.ot
49 Re.oe.C
50 Rs.rtp.ot
51 Rf.meo.D
52 Rs.rtp.ot
53-54 Re.oe.E
55 Rs.rtp.ot
56 Rf.meo.F
57-58 Pl.gp
59 Pl.lp
60-61 Re.lr
62 Co.ic
63 Re.oe.B
64 Re.oe.E
65 Pl.lp
66 Re.sp.iot
67 Re.lr
68 Pl.lp
69 Re.sp.iot
70 Re.oe.A
71 Re.oe.E
72 Pl.iv
73 Re.lr
74 Co.ic
75 Pl.lp
76 Rs.rtp.ot
77 Re.oe.A
78-80 Rs.rtp.ot
81 Pl.gp
82 Re.sp.iot
83 Kn.sk.ro
84 Pl.lp
85-86 Re.ds.al
87 Pl.lp
88 Re.lr.al
89-90 Re.oe.A
91-92 Re.oe.E
93 Pl.iv
94 Kn.rot
95-96 Re.oe.C
97 Pl.iv
98-101 Re.lr
102 Pl.gp
103 Re.oe.A
104 Re.oe.E
105 Re.oe.C
106 Re.sp.iot
107 Pl.gp
108 Rs.rtp.qt
109-112 Re.ca.al
113 Re.oe.E
114 Re.oe.A
115 Re.oe.C
116 Pl.gp
117-118 Rs.rtp.afi
119 Pl.gp
120 Pl.lp
121 Re.ds.al
122 Pl.lp
123 Re.lr.al
124 Pl.lp
125 Co.ic
126 Pl.lp
127-130 Kn.wk.fpc
