0 Pl.iv.wdm+Kn.wk.fpc
1 Pl.lp
2-4 Rs.rtp.qt
5 Pl.ib.wdm
6 Re.co.pvo
7 Rs.rae
8 Rf.eoi
9 Re.lr.al
10-12 Ex.nel.al
13-14 Co.ic
15 Rf.eoi
16 Kn.wk
17 Re.lr
18 Pl.gp
19-20 Rs.rtp.ot
21 Co.ic
22 Pl.iv
23 Re.cr
24 Re.lr
25 Pl.gp
26 Re.lr.al
27 Re.lr
28-29 Re.sp.iot
30 Pl.lp
31 Rs.rtp.ot
32 Pl.iv
33 Re.lr
34 Pl.gp
35 Rs.rae
36-37 Co.ic
38-39 Pl.gp
40-41 Pl.lp
42-43 Rs.rae
44-45 Co.ic
46 Pl.lp
47 Rf.meo.A
48 Rf.meo
49 Rf.meo.D
50 Rf.meo.E
51 Rf.meo.F
52 Co.ic
53-54 Pl.gp
55 Rs.rae
56 Pl.lp
57-59 Rs.rae
60-63 Co.ic
64 Pl.iv
65 Rf.meo.E
66 Pl.iv
67-69 Re.lr
70-71 Co.ic
72 Pl.gp
73-77 Pl.lp
78 Rf.meo
79 Pl.ao
80 Pl.iv
81-85 Re.lr
86-87 Rf.meo
88 Pl.iv
89-92 Rs.rtp.afi
93 Rf.meo
94 Pl.gp
95-97 Rs.rae
98-101 Co.ic
102 Rf.meo
103 Pl.ao
104-105 Pl.iv
106-107 Re.lr
108 Kn.wk
109 Rf.eoi
110 Rf.meo
111 Pl.gp
112 Pl.ao
113 Pl.gp
114 Pl.iv.wdm
115-117 Rs.rae
118 Re.lr
119 Rs.rae
120 Co.ic
121-122 Rf.meo
123 Pl.ao
124-125 Pl.lp
126-127 Rs.rtp.afi
128-129 Pl.ao
130 Pl.iv
131 Re.oe.A
132 Re.lr
133 Co.ic
134 Rf.meo
135 Rf.eoi
136 Pl.atc
137 Co.fa
138 Rf.meo
139 Pl.ao
