0 Pl.iv.wdm+Re.co.pvo
1 Pl.lp
2-4 Rs.rtp.qt
5 Pl.iv.wdm+Kn.wk.fpc
6-8 Kn.wk.fpc
9 Re.co.pvo
10 Rs.rae
11 Pl.iv
12-14 Rs.rtp.qt
15 Re.lr.al
16 Pl.lp
17-22 Ex.nel.al
23 Co.ic
24 Rf.eoi
25 Re.cr
26 Co.ic
27 Pl.lp
28-33 Rs.rtp.ot
34 Re.oe.E
35 Pl.iv.wdm
36 Kn.wk.fpc
37 Kn.wk.fpc+Re.lr.al
38 Re.oe.E
39 Pl.iv
40-42 Kn.wk.fpc
43 Pl.lp
44 Re.co.pvo
45 Re.lr.al
46 Co.ic
47 Rs.rtp.ot
48 Rf.meo.E
49 Pl.iv
50 Re.lr
51 Pl.iv
52 Re.sp.iot
53 Re.lr
54 Co.ic
55 Re.lr.al
56 Pl.gp
57 Re.lr.al
58 Co.ic
59-60 Pl.gp
61-62 Pl.lp
63 Rs.rae
64 Pl.lp
65 Rs.rae
66 Co.ic
67-68 Pl.lp
69 Rf.meo.A
70 Rf.meo.B
71 Rf.meo.C
72 Rf.meo.D
73 Rf.meo.E
74 Rf.meo.F
75 Co.ic
76-77 Pl.gp
78-81 Rs.rae
82 Co.ic
83 Co.ic
84 Pl.iv
85 Re.cr
86 Rf.meo.E
87 Co.ic
88 Pl.lp
89 Re.sp
90 Re.lr
91 Re.lr
92 Co.ic
93-95 Pl.lp
96 Co.ic
97 Rf.meo
98 Pl.iv
99-101 Rs.rtp.qt
102 Rs.rae
103 Rf.meo
104 Rf.meo
105 Pl.ao
106 Pl.gp
107 Pl.iv.wdm
108 Re.lr
109 Re.sp
110 Kn.sk.ro
111 Co.ic
112 Rs.rae
113 Pl.lp
114 Rf.meo
115 Pl.ao
116-117 Co.ic
118 Rf.meo
119 Pl.ao
120 Pl.gp
121 Pl.iv
122 Re.oe.F
123 Rf.meo.E
124 Co.ic
125 Pl.iv
126 Re.sp.iot
127 Rf.meo.E
128 Pl.atc
129 Co.ic
130 Rf.meo
131 Pl.ao
132 Rs.rae
133-134 Co.ic
135 Rf.meo
136-137 Pl.ao
138-139 Pl.lp
140 Pl.iv
141 Rs.rtp.qt+Re.co.pvo
142 Rs.rae
143 Rf.meo
144 Rf.meo
145 Pl.gp
146 Pl.iv.wdm
147 Re.lr
148 Co.ic
149 Co.ic
150 Co.fa
151-152 Pl.ao
