0 Rf.meo.F
1 Re.cr
2 Co.ic
3 Pl.iv
4 Kn.cod.wp
5 Rs.rae
6 Co.ic
7 Re.oe.F
8 Rf.meo.E
9 Pl.iv.wdm
10 Rs.rtp.ot
11 Re.oe.C
12 Rf.meo.C
13 Pl.iv
14 Re.sp.iot
15-16 Re.oe.F
17 Re.cr
18 Co.ic
19 Pl.iv.wdm
20 Re.cr
21 As.bcs
22 Re.co.pvo
23-24 Pl.gp
25 As.bcs
26 Re.co.ovo
27 Re.oe.E
28 Re.oe.F
29 Re.oe.E
30 Pl.iv
31 Rs.rtp.qt
32 Co.ic
33 Co.ic
34 Pl.iv.wdm
35 Re.oe.F
36 Re.oe.E
37 Pl.iv
38 Re.lr
39 Re.oe.C
40 Rf.meo.C
41 Re.oe.E
42 Co.ic
43 Pl.gp
44 Pl.lp
45-46 Re.ds.al
47-51 Rs.rae
52 Co.ic
53 Pl.lp
54 Re.oe.E
55 Re.oe.C
56 Re.co.ovo
57 Pl.atc
58 Co.ic
59 Pl.iv
60 Re.oe.F
61 Re.lr
62 Co.ic
63 Rf.meo.E
64 Pl.iv
65 Kn.wk
66 Co.ic
67 Re.oe.E
68 Pl.gp
69 Pl.gp
70-75 Pl.lp
76-77 Co.ic
78 Rf.meo
79 Pl.ao
80 Pl.gp
81 Pl.iv.wdm+Rs.rtp.ot
82 Re.oe.C
83 Re.co.ovo
84 Pl.iv
85 Kn.wk
86 Re.lr
87 Re.oe.E
88 Co.ic
89 Rf.meo
90 Pl.iv
91 Rs.rtp.qt
92 Pl.lp
93-96 Rs.rae
97 Co.ic
98 Pl.ao
99 Rf.meo
100 Pl.gp
101 Re.lr
102-103 Rs.rae
104 Co.ic
105 Pl.ao
106 Pl.gp
107 Rs.rae
108 Pl.lp
109-111 Kn.wk.fpc
112-119 Rs.rae
120 Re.oe.E
121 Re.oe.C
122 Co.ic
123-124 Co.ic
125-126 Rf.meo
127 Pl.ao
128 Rf.meo
129 Pl.gp
130 Pl.iv.wdm
131 Rs.rtp.afi
132 Re.lr
133 Co.ic
134 Rf.meo.E
135-136 Re.lr
137 Rf.meo
138 Pl.atc
139 Co.ic
140 Pl.ao
141 Pl.gp
142 Pl.iv
143 Kn.wk
144 Co.ic
145-146 Re.oe.F
147 Re.oe.E
148 Co.ic
149-150 Rf.meo
151 Pl.ao
