0 Re.oe.B
1 Rf.meo.B
2 Pl.lp
3 Re.oe.C
4 Pl.lp
5 Re.co.ovo
6 Pl.lp
7-8 Re.oe.E
9 Pl.lp
10-11 Pl.gp
12 Pl.lp
13-16 Kn.wk.fpc
17 Pl.lp
18-20 Rs.rtp.qt
21 Co.ic
22 Pl.gp
23-24 Re.sp.iot
25 Pl.lp+Rs.rtp.ot
26 Re.oe.C
27-29 Re.lr.al
30 Co.ic
31-32 Re.co.pvo
33-34 Rs.rae
35 Pl.iv
36 Re.hwa.mr
37 Re.hwa.er
38-39 Pl.lp
40 Rs.rae
41 Rs.rtp.ot
42 Rf.meo.C
43 Rs.rtp.ot
44 Rf.meo.E
45 Pl.gp
46 Kn.sk.ec
47-48 Re.sp
49 Pl.iv.wdm+Re.lr.al
50-51 Re.sp.iot
52 Pl.gp
53 Rs.rtp.ot
54 Rf.meo.A
55 Rs.rtp.ot
56 Rf.meo.B
57 Rf.meo.C
58-59 Rs.rtp.ot
60 Rf.meo.E
61 Pl.gp
62 Rs.rae
63-64 Re.sp.iot
65 Kn.sk.ro
66 Pl.lp
67 Rs.rae
68 Pl.lp
69 Re.oe.C
70 Rf.meo.C
71 Re.oe.C
72 Pl.iv
73 Rs.rtp.qt
74 Pl.lp
75 Kn.wk.fpc
76 Re.lr
77 Pl.iv
78 Rf.meo.E
79 Rf.meo.C
80-82 Re.oe.C
83 Pl.iv.wdm
84 Re.hwa.mr
85 Re.hwa.er
86 Co.ic
87 Pl.gp
88 Pl.iv
89-90 Rs.rtp.qt
91 Re.lr
92 Pl.lp
93 Re.oe.F
94 Kn.wk
95 Rf.meo.C
96 Re.sp.iot
97-98 Pl.iv
99 Rs.rtp.qt
100 Re.ca.al
101 Re.lr.al
102 Re.ca.al
103 Re.lr.al
104 Co.ic
105 Pl.gp
106 Pl.lp
107 Co.ic
108 Pl.iv
109 Re.lr
110-111 Rs.rtp.ot
112 Pl.gp
113-116 Re.ca.al
117 Kn.wk.fpc
118 Re.sp.iot
119 Re.oe.A
120 Re.oe.C
121 Re.oe.E
122 Pl.lp
123 Rs.rtp.ot
124 Rf.meo.C
125 Re.oe.C
126 Pl.gp
127 Pl.iv
128 Kn.wk
129-130 Re.oe.C
131 Pl.iv
132-135 Re.lr
136 Pl.atc
137 Co.ic
138 Ex.nel.al
139 Kn.wk.fpc
140 Co.ic
141 Re.oe.C
142 Pl.iv.wdm
143 Re.oe.C
144 Pl.iv
145-146 Re.cr
147 Re.co.ovo
148 Rf.meo.A
149 Rf.meo.E
150 Rf.meo.C
151 Pl.iv
152-155 Re.lr
156 As.aau
157 Re.oe.A
158 Re.oe.C
159 Pl.gp
160 Re.sp.iot
161 Re.oe.A
162 Re.oe.C
163 Pl.gp
164 Rs.rtp.ot
165 Rf.meo.E
166 Re.lr.al
167 Rf.meo.C
168 Re.oe.C
169 Kn.wk
170 Pl.iv
171 As.bcs.al
172 Re.ca.al
173-175 Re.lr.al
176 Pl.atc
177-178 Co.ic
179 Re.oe.C
180 Co.ic
181 Pl.iv.wdm
182 Pl.iv
183 Re.oe.F
184-185 Re.oe.C
186 Pl.gp
187 Kn.wk
188-189 Re.lr
190 Co.ic
191 Re.oe.C
192 Pl.iv
193 Rs.rtp.ot
194 Rf.meo.C
195 Re.oe.C
196 Pl.gp
197-210 Rs.rae
211 Rf.meo.A
212 Rf.meo.E
213 Rf.meo.F
214 Pl.gp
215 Pl.iv
216 Re.hwa.mr
217 Re.hwa.er
218 Co.ic
219 Pl.atc
220 Pl.lp
221 Rs.rtp.qt
222 Pl.lp
223 Kn.wk.fpc
224 Pl.lp
225 Co.ic
226 Pl.lp
227 Co.ic
228 Pl.iv
229-232 Re.lr
233 Pl.atc
234 Pl.gp
235-247 Rs.rae
248-249 Co.ic
250 Pl.gp
251 Rs.rtp.ot
252 Kn.cod.wp
253 Re.co.ovo
254 Kn.wk
255 Pl.iv
256 Kn.wk
257 Re.oe.E
258 Re.oe.C
259 Rs.rtp.afi
260 Re.oe.C
261 Pl.iv
262 Re.oe.C
263 Kn.sk.ec
264 Co.ic
265 Pl.iv.wdm
266-271 Rs.rtp.ot
272 Co.ic
273 Rs.rtp.ot
274 Rf.meo.C
275 Re.oe.C
276 Rf.eoi
277 Pl.iv
278 Re.hwa.mr
279 Re.hwa.er
280 Re.lr
281 As.aau
282 Pl.lp
283 Re.lr
284 Co.ic
285 Pl.iv
286 Re.lr
287-288 Rs.rtp.ot
289 Kn.cod.wp
290 Kn.cod
291 Re.lr.al
292 Re.lr
293 Re.co.ovo
294 Re.oe.C
295 Pl.atc
296 Co.ic
297 Pl.iv.wdm
298-299 Re.oe.A
300-301 Re.lr
302 Pl.iv
303 Re.oe.A
304 Re.oe.C
305 Co.ic
306 Pl.iv
307 Rs.rtp.ot
308 Pl.iv
309-311 Re.lr
312 Kn.wk.fpc
313 Re.cr
314 Re.lr
315-316 Co.ic
317 Pl.gp
318-325 Pl.lp
326-327 Co.fa
