0 Rf.meo.F
1 Pl.gp
2-3 Re.sp.iot
4 Pl.iv
5-7 Kn.wk.fpc
8 Co.ic
9 Pl.iv
10 Rs.rtp.ot
11 Re.oe.E
12 Pl.atc
13 Re.co.pvo
14 Pl.iv.wdm
15-16 Re.lr
17 Re.lr.al
18 Pl.iv
19 Re.oe.C
20 Re.oe.E
21 Co.ic
22 Pl.gp
23 Pl.lp
24 Rs.rae
25 Pl.lp
26-27 Rs.rae
28 Pl.lp
29-30 Rs.rae
31 Co.ic
32 Pl.iv
33 Re.oe.E
34 Kn.cod.wp
35 Re.lr.al
36 Co.ic
37 Re.co.ovo
38 Re.oe.E
39 Co.ic
40 Pl.gp
41-45 Pl.lp
46 Pl.gp
47 Re.sp.iot
48 Co.ic
49 Re.oe.E
50 Pl.ao
51 Pl.gp
52-57 Pl.lp
58-59 Rf.meo
60 Pl.iv
61 Rs.rtp.qt+Re.ds.al
62 Pl.lp
63 Rs.rtp.ot
64 Rf.meo
65 Pl.ao
66 Pl.gp
67 Pl.iv.wdm
68 Re.lr
69 Pl.iv
70 Re.oe.F
71 Co.ic
72 Kn.rot
73 Re.oe.C
74-75 Co.ic
76 Pl.lp
77 Rs.rae
78 Pl.lp
79 Kn.wk.fpc
80-83 Re.ca.al
84 Rs.rae
85-86 Pl.lp
87 Rs.rae
88 Pl.lp
89-93 Rs.rae
94 Co.ic
95 Pl.lp
96 Co.ic
97 Rf.meo
98 Pl.ao
99 Pl.lp
100 Rs.rtp.afi
101-103 Rf.meo
104 Pl.iv
105 Kn.cod.wp
106 Rf.meo.E
107-108 Pl.ao
109 Pl.gp
110 Pl.iv.wdm
111 Re.sp.iot
112 Re.oe.E
113 Co.ic
114-115 Rf.meo
116 Pl.ao
117-118 Rs.rae
119-120 Rf.meo
121 Pl.lp
122-123 Pl.gp
124-125 Pl.ao
126 Pl.gp
127 Pl.iv
128 Rs.rtp.ot
129 Rf.meo.C
130 Rf.meo.E
131 Co.ic
132 Pl.iv
133 Re.sp.iot
134 Rf.eoi
135-136 Pl.ao
137 Pl.iv
138-140 Rs.rtp.qt
141-142 Rf.meo
143-145 Pl.gp
146-148 Rs.rae
149-150 Pl.lp
151 Rs.rae
152 Pl.lp
153-156 Rs.rae
157 Co.ic
158-159 Rf.meo
160 Pl.lp
161 Co.fa
162-163 Pl.ao
164-165 Rs.rae
166 Rf.meo
167 Pl.ao
