0-1 Re.hwa.mr
2 Pl.lp
3 Re.oe.C
4 Pl.lp
5 Rf.meo.D
6 Pl.lp
7-9 Re.oe.E
10 Pl.lp
11 Re.oe.F
12 Pl.gp
13-14 Re.lr
15 Re.oe.A
16 Re.oe.E
17 Pl.lp
18 Rs.rtp.ot
19 Re.oe.C
20 Re.hwa.un
21 Pl.gp
22-23 Re.lr
24 Rs.rtp.ot
25 Pl.iv
26-28 Rs.rtp.qt
29 Pl.lp
30-31 Kn.wk.fpc
32 Pl.lp
33 Rs.rtp.qt
34 Re.lr.al
35 Re.oe.A
36 Re.oe.E
37 Re.lr
38-39 Pl.lp
40 Re.oe.F
41 Pl.ib.wdm
42-44 Re.oe.E
45 Kn.cod.wp
46 Re.oe.E
47 Pl.gp
48 Kn.wk.fpc
49-50 Re.sp.iot
51 Pl.lp
52 Rs.rtp.ot
53 Re.oe.C
54 Re.co.ovo
55 Rs.rtp.afi
56 Pl.gp
57 Pl.lp
58-59 Re.ds.al
60 Re.lr.al
61 Co.ic
62 Re.oe.A
63 Re.oe.B
64 Re.oe.C
65 Rs.rtp.ot
66 Pl.iv.wdm
67 Re.sp
68 Re.lr
69 Pl.gp
70 Re.sp.iot
71 Re.lr
72 Re.oe.A
73 Rs.rtp.ot
74 Kn.cod.wp
75 Re.oe.F
76 Rs.rtp.ot
77-78 Pl.lp
79 Rs.rtp.ot
80-83 Re.oe.C
84 Rs.rtp.ot
85 Re.oe.E
86 Pl.gp
87 Kn.wk.fpc
88-89 Re.lr
90-91 Kn.wk.fpc
92 Re.lr
93 Re.lr.al
94 As.bcs.al
95-96 Re.ca.al
97 Re.lr.al
98 As.bcs.al
99-100 Re.ca.al
101 Re.lr.al
102 Co.ic
103 Pl.iv.wdm
104-105 Re.ca.al
106-107 Re.lr.al
108-112 Co.ic
113 Pl.gp
114 Rs.rtp.ot
115-116 Re.oe.C
117 Rs.rtp.ot
118 Re.oe.E
119 Re.sp.iot
120 Re.oe.A
121 Re.oe.F
122 Re.oe.E
123 Pl.gp
124 Re.sp
125 Re.lr
126 Re.sp
127 Re.lr
128 Co.ic
129 Pl.lp
130-131 Kn.wk.fpc
132 Pl.lp
133 Kn.wk.fpc
134 Pl.lp
135-136 Rs.rae
137 Pl.lp
138 Rs.rae
139 Re.lr
140 Co.ic
141 Re.co.ovo
142 Kn.wk
143 Rs.rtp.ot
144-145 Re.oe.C
146 Rs.rtp.ot
147 Pl.lp
148 Rs.rtp.ot
149-150 Re.oe.C
151 Pl.lp
152 Rs.rtp.afi
153 Pl.gp
154 Re.oe.A
